id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,pickup_district,pickup_neighbourhood,dropoff_district,dropoff_neighbourhood,pickup_geonumber,dropoff_geonumber,day_period,month,year,season,weekday_or_weekend,regular_day_or_holiday,pickup_hour,day_name,financial_quarter,date
id0744495,1,2016-01-05 15:06:28,2016-01-05 15:09:46,1,-73.95894622802734,40.76940536499024,-73.9637222290039,40.768497467041016,N,198.0,Manhattan,Hell's Kitchen,Manhattan,Harlem,23464.53401947021,23464.36582183838,2. Afternoon,01. Jan,2016,1. Winter,Weekday,Regular day,15,2. Tuesday,4,05-01-2016
id3691955,1,2016-01-09 10:36:39,2016-01-09 10:43:55,1,-73.95449829101562,40.78743362426758,-73.97129821777344,40.76665496826172,N,436.0,Brooklyn,Clinton Hill,Manhattan,Harlem,23467.78355407715,23464.026596069336,1. Morning,01. Jan,2016,1. Winter,Weekend,Regular day,10,6. Saturday,4,09-01-2016
id3999265,1,2016-01-07 23:58:20,2016-01-08 00:16:31,1,-73.99140930175781,40.74477767944336,-73.94216918945312,40.84793090820313,N,1091.0,Brooklyn,Crown Heights,Brooklyn,Bedford-Stuyvesant,23460.068572998047,23478.68539428711,3. Evening,01. Jan,2016,1. Winter,Weekday,Regular day,23,4. Thursday,4,07-01-2016
id0237998,2,2016-01-07 16:03:02,2016-01-07 16:21:21,6,-74.00794982910156,40.71506118774415,-73.9769973754883,40.75201416015625,N,1099.0,Brooklyn,Bedford-Stuyvesant,Manhattan,Harlem,23454.703063964844,23461.38555145264,2. Afternoon,01. Jan,2016,1. Winter,Weekday,Regular day,16,4. Thursday,4,07-01-2016
id1562400,1,2016-01-07 22:19:17,2016-01-07 22:28:51,1,-73.97072601318358,40.75543594360352,-73.98695373535155,40.72951889038085,N,574.0,Brooklyn,South Slope,Manhattan,Inwood,23462.00774383545,23457.326446533203,3. Evening,01. Jan,2016,1. Winter,Weekday,Regular day,22,4. Thursday,4,07-01-2016
id3419227,2,2016-01-09 02:31:14,2016-01-09 02:40:15,3,-73.98607635498048,40.73466873168945,-73.95455932617188,40.76694107055664,N,541.0,Brooklyn,Fort Greene,Manhattan,Upper West Side,23458.25429534912,23464.094833374023,4. Night,01. Jan,2016,1. Winter,Weekend,Regular day,2,6. Saturday,4,09-01-2016
id2119811,1,2016-01-05 15:32:34,2016-01-05 15:51:01,1,-74.00461578369139,40.70752716064453,-73.97705841064453,40.759037017822266,N,1107.0,Queens,Far Rockaway,Brooklyn,Bensonhurst,23453.350273132324,23462.649604797363,2. Afternoon,01. Jan,2016,1. Winter,Weekday,Regular day,15,2. Tuesday,4,05-01-2016
id3781798,1,2016-01-07 00:49:07,2016-01-07 00:52:00,1,-74.00434875488281,40.71628952026367,-74.00362396240234,40.72036743164063,N,173.0,Manhattan,Hell's Kitchen,Brooklyn,Bedford-Stuyvesant,23454.927764892574,23455.66251373291,4. Night,01. Jan,2016,1. Winter,Weekday,Regular day,0,4. Thursday,4,07-01-2016
id1291827,2,2016-01-08 18:32:59,2016-01-08 18:37:36,1,-73.95531463623048,40.77352142333984,-73.95977020263672,40.77919769287109,N,277.0,Manhattan,Hell's Kitchen,Manhattan,Harlem,23465.27854156494,23466.29581451416,3. Evening,01. Jan,2016,1. Winter,Weekday,Regular day,18,5. Friday,4,08-01-2016
id1180583,1,2016-01-08 14:08:48,2016-01-08 14:16:09,1,-73.98947143554686,40.75230026245117,-73.98997497558594,40.74077224731445,N,441.0,Manhattan,East Harlem,Manhattan,East Harlem,23461.424575805664,23459.349029541016,2. Afternoon,01. Jan,2016,1. Winter,Weekday,Regular day,14,5. Friday,4,08-01-2016
id3146847,2,2016-01-03 18:36:28,2016-01-03 18:44:51,1,-73.96906280517578,40.79087066650391,-73.96537780761719,40.771671295166016,N,503.0,Queens,Arverne,Brooklyn,Gravesend,23468.387657165527,23464.935455322266,3. Evening,01. Jan,2016,1. Winter,Weekend,Regular day,18,7. Sunday,4,03-01-2016
id2731020,2,2016-01-05 09:07:35,2016-01-05 09:16:25,1,-73.96906280517578,40.76694107055664,-73.96619415283203,40.789417266845696,N,530.0,Manhattan,East Harlem,Brooklyn,Kensington,23464.08032989502,23468.128913879395,1. Morning,01. Jan,2016,1. Winter,Weekday,Regular day,9,2. Tuesday,4,05-01-2016
id3612929,1,2016-01-05 19:28:03,2016-01-05 19:39:36,1,-73.98230743408203,40.77212142944336,-73.9664535522461,40.76167678833008,N,693.0,Manhattan,East Harlem,Manhattan,Upper West Side,23464.999549865723,23463.135368347168,3. Evening,01. Jan,2016,1. Winter,Weekday,Regular day,19,2. Tuesday,4,05-01-2016
id3265745,2,2016-01-09 07:35:51,2016-01-09 07:48:03,2,-74.0043716430664,40.72172164916992,-73.9762191772461,40.75151824951172,N,732.0,Manhattan,Upper West Side,Manhattan,Midtown,23455.90552520752,23461.297065734863,1. Morning,01. Jan,2016,1. Winter,Weekend,Regular day,7,6. Saturday,4,09-01-2016
id2448637,2,2016-01-04 09:44:49,2016-01-04 09:48:03,1,-73.97966003417969,40.74654006958008,-73.984619140625,40.74111175537109,N,194.0,Manhattan,Upper West Side,Manhattan,Upper West Side,23460.397552490234,23459.41549682617,1. Morning,01. Jan,2016,1. Winter,Weekday,Regular day,9,1. Monday,4,04-01-2016
id0950077,2,2016-01-03 03:05:45,2016-01-03 03:19:43,1,-73.95445251464845,40.77806854248047,-73.95465850830078,40.82056427001953,N,838.0,Manhattan,Upper West Side,Brooklyn,Fort Greene,23466.09788513184,23473.74691009521,4. Night,01. Jan,2016,1. Winter,Weekend,Regular day,3,7. Sunday,4,03-01-2016
id2188319,2,2016-01-07 18:20:39,2016-01-07 18:33:20,1,-73.99591064453125,40.73857116699219,-74.00283813476562,40.76044845581055,N,761.0,Manhattan,Upper West Side,Brooklyn,Kensington,23458.946899414062,23462.877883911133,3. Evening,01. Jan,2016,1. Winter,Weekday,Regular day,18,4. Thursday,4,07-01-2016
id0061352,1,2016-01-07 19:32:21,2016-01-07 19:50:16,1,-74.0013427734375,40.7569694519043,-73.95949554443358,40.76353454589844,N,1075.0,Brooklyn,Sheepshead Bay,Brooklyn,Sheepshead Bay,23462.253158569336,23463.476722717285,3. Evening,01. Jan,2016,1. Winter,Weekday,Regular day,19,4. Thursday,4,07-01-2016
id0587505,2,2016-01-09 02:52:50,2016-01-09 03:00:28,1,-73.978759765625,40.72411346435547,-73.97037506103516,40.751686096191406,N,458.0,Brooklyn,Bedford-Stuyvesant,Manhattan,Inwood,23456.36166381836,23461.333122253414,4. Night,01. Jan,2016,1. Winter,Weekend,Regular day,2,6. Saturday,4,09-01-2016
id3237664,2,2016-01-03 18:19:49,2016-01-03 18:48:30,1,-73.97455596923827,40.77838897705078,-74.0079116821289,40.71531295776367,N,1721.0,Manhattan,Midtown,Manhattan,Hell's Kitchen,23466.135459899902,23454.74842071533,3. Evening,01. Jan,2016,1. Winter,Weekend,Regular day,18,7. Sunday,4,03-01-2016
id1388471,1,2016-01-04 08:07:20,2016-01-04 08:13:33,1,-73.99138641357422,40.74961471557617,-73.98605346679686,40.75295639038085,N,373.0,Manhattan,Murray Hill,Manhattan,East Harlem,23460.939262390137,23461.54609680176,1. Morning,01. Jan,2016,1. Winter,Weekday,Regular day,8,1. Monday,4,04-01-2016
id0759787,1,2016-01-08 13:47:24,2016-01-08 13:48:05,1,-73.95950317382812,40.771034240722656,-73.9583511352539,40.772708892822266,N,41.0,Manhattan,Upper West Side,Manhattan,Hell's Kitchen,23464.82666015625,23465.129249572758,2. Afternoon,01. Jan,2016,1. Winter,Weekday,Regular day,13,5. Friday,4,08-01-2016
id2696294,1,2016-01-03 18:13:51,2016-01-03 18:19:17,2,-73.99961853027342,40.726993560791016,-73.99400329589844,40.73793029785156,N,326.0,Brooklyn,Fort Greene,Manhattan,East Harlem,23456.85922241211,23458.833450317383,3. Evening,01. Jan,2016,1. Winter,Weekend,Regular day,18,7. Sunday,4,03-01-2016
id2508228,2,2016-01-09 13:46:11,2016-01-09 13:50:44,1,-73.99172973632812,40.7148323059082,-73.98439788818358,40.7257194519043,N,273.0,Brooklyn,Greenpoint,Manhattan,Inwood,23454.67808532715,23456.64510345459,2. Afternoon,01. Jan,2016,1. Winter,Weekend,Regular day,13,6. Saturday,4,09-01-2016
id2034968,1,2016-01-08 09:06:44,2016-01-08 09:22:14,1,-73.99028778076173,40.73147964477539,-73.97309875488281,40.7581901550293,N,930.0,Manhattan,Upper West Side,Brooklyn,Kensington,23457.67604827881,23462.50112915039,1. Morning,01. Jan,2016,1. Winter,Weekday,Regular day,9,5. Friday,4,08-01-2016
id2528614,1,2016-01-03 12:27:27,2016-01-03 12:29:31,1,-73.9582290649414,40.7646484375,-73.95586395263672,40.77190399169922,N,124.0,Manhattan,West Village,Brooklyn,Park Slope,23463.67848968506,23464.986854553223,2. Afternoon,01. Jan,2016,1. Winter,Weekend,Regular day,12,7. Sunday,4,03-01-2016
id1932963,2,2016-01-07 17:41:16,2016-01-07 18:01:57,1,-74.00901794433594,40.70640563964844,-73.96078491210938,40.76485824584961,N,1241.0,Manhattan,Inwood,Manhattan,East Harlem,23453.143997192383,23463.71369934082,2. Afternoon,01. Jan,2016,1. Winter,Weekday,Regular day,17,4. Thursday,4,07-01-2016
id3574481,2,2016-01-09 03:29:31,2016-01-09 03:36:44,3,-74.00041198730467,40.73545837402344,-73.99160766601562,40.726829528808594,N,433.0,Brooklyn,Williamsburg,Manhattan,Upper West Side,23458.382095336918,23456.83770751953,4. Night,01. Jan,2016,1. Winter,Weekend,Regular day,3,6. Saturday,4,09-01-2016
id0184695,2,2016-01-07 18:57:53,2016-01-07 19:08:17,6,-73.99674987792969,40.72253036499024,-74.01017761230467,40.72355651855469,N,624.0,Brooklyn,Windsor Terrace,Manhattan,Harlem,23456.058715820312,23456.22999572754,3. Evening,01. Jan,2016,1. Winter,Weekday,Regular day,18,4. Thursday,4,07-01-2016
id1909958,1,2016-01-04 13:43:37,2016-01-04 13:46:06,1,-73.95254516601562,40.778144836425774,-73.9473648071289,40.78018951416016,N,149.0,Brooklyn,Williamsburg,Manhattan,West Village,23466.113525390625,23466.4867477417,2. Afternoon,01. Jan,2016,1. Winter,Weekday,Regular day,13,1. Monday,4,04-01-2016
id3267535,2,2016-01-06 22:17:07,2016-01-06 22:27:47,1,-73.9751968383789,40.75529098510742,-73.98110961914062,40.74443817138672,N,640.0,Brooklyn,Kensington,Brooklyn,Crown Heights,23461.97718048096,23460.01776123047,3. Evening,01. Jan,2016,1. Winter,Weekday,Regular day,22,3. Wednesday,4,06-01-2016
id3385490,2,2016-01-07 15:20:17,2016-01-07 15:25:58,1,-73.99034881591797,40.75690078735352,-73.98243713378906,40.76765060424805,N,341.0,Brooklyn,Bedford-Stuyvesant,Brooklyn,South Slope,23462.251792907715,23464.19467163086,2. Afternoon,01. Jan,2016,1. Winter,Weekday,Regular day,15,4. Thursday,4,07-01-2016
id0393772,2,2016-01-08 20:19:41,2016-01-08 20:35:23,2,-73.977783203125,40.72940826416016,-73.98548126220702,40.7470588684082,N,942.0,Brooklyn,Bedford-Stuyvesant,Manhattan,Hell's Kitchen,23457.315704345703,23460.48511505127,3. Evening,01. Jan,2016,1. Winter,Weekday,Regular day,20,5. Friday,4,08-01-2016
id3632999,1,2016-01-06 00:57:54,2016-01-06 01:04:12,1,-73.97840118408203,40.76226806640625,-73.99067687988281,40.75086212158203,N,378.0,Manhattan,Harlem,Manhattan,Harlem,23463.229850769043,23461.164505004883,4. Night,01. Jan,2016,1. Winter,Weekday,Regular day,0,3. Wednesday,4,06-01-2016
id3922650,2,2016-01-09 08:00:45,2016-01-09 08:03:17,1,-73.98613739013672,40.7622299194336,-73.97718048095702,40.75933074951172,N,152.0,Brooklyn,Flatbush,Brooklyn,Midwood,23463.21524810791,23462.702354431152,1. Morning,01. Jan,2016,1. Winter,Weekend,Regular day,8,6. Saturday,4,09-01-2016
id2113025,1,2016-01-08 09:08:55,2016-01-08 09:21:10,1,-73.99664306640625,40.74274444580078,-73.99707794189453,40.7253532409668,N,735.0,Brooklyn,Williamsburg,Manhattan,East Harlem,23459.69735717773,23456.56650543213,1. Morning,01. Jan,2016,1. Winter,Weekday,Regular day,9,5. Friday,4,08-01-2016
id1588204,1,2016-01-04 01:37:54,2016-01-04 01:42:49,1,-73.99429321289062,40.75590896606445,-73.98619842529298,40.76080322265625,N,295.0,Manhattan,Harlem,Manhattan,Harlem,23462.06932067871,23462.958381652832,4. Night,01. Jan,2016,1. Winter,Weekday,Regular day,1,1. Monday,4,04-01-2016
id2731951,2,2016-01-07 09:14:46,2016-01-07 09:18:32,5,-73.99933624267578,40.73417282104492,-73.9935302734375,40.73321533203125,N,226.0,Brooklyn,South Slope,Manhattan,Upper West Side,23458.15177154541,23457.985229492188,1. Morning,01. Jan,2016,1. Winter,Weekday,Regular day,9,4. Thursday,4,07-01-2016
id1490163,2,2016-01-05 08:51:06,2016-01-05 09:02:02,6,-73.96790313720702,40.79233932495117,-73.95410919189453,40.78540802001953,N,656.0,Manhattan,Hell's Kitchen,Manhattan,East Harlem,23468.653175354004,23467.41933441162,1. Morning,01. Jan,2016,1. Winter,Weekday,Regular day,8,2. Tuesday,4,05-01-2016
id2400002,1,2016-01-06 17:39:26,2016-01-06 17:59:12,1,-73.9817657470703,40.75878143310547,-73.98096466064453,40.733978271484375,N,1186.0,Manhattan,East Harlem,Brooklyn,Bedford-Stuyvesant,23462.598892211918,23458.135124206543,2. Afternoon,01. Jan,2016,1. Winter,Weekday,Regular day,17,3. Wednesday,4,06-01-2016
id1415730,2,2016-01-05 21:25:40,2016-01-05 21:31:38,1,-73.99764251708984,40.72431182861328,-74.007080078125,40.733001708984375,N,358.0,Brooklyn,Bedford-Stuyvesant,Manhattan,Hell's Kitchen,23456.3784866333,23457.933227539062,3. Evening,01. Jan,2016,1. Winter,Weekday,Regular day,21,2. Tuesday,4,05-01-2016
id0990994,1,2016-01-05 07:26:20,2016-01-05 07:38:26,1,-73.99786376953125,40.74143981933594,-73.97319030761719,40.75753784179688,N,726.0,Brooklyn,Williamsburg,Manhattan,Midtown,23459.461303710938,23462.38362121582,1. Morning,01. Jan,2016,1. Winter,Weekday,Regular day,7,2. Tuesday,4,05-01-2016
id3699595,1,2016-01-03 20:52:15,2016-01-03 21:02:34,1,-73.99002838134766,40.75646209716797,-73.96266174316406,40.77545166015625,N,619.0,Brooklyn,Bedford-Stuyvesant,Manhattan,Harlem,23462.173149108887,23465.61863708496,3. Evening,01. Jan,2016,1. Winter,Weekend,Regular day,20,7. Sunday,4,03-01-2016
id3777218,1,2016-01-07 15:57:01,2016-01-07 16:19:30,1,-73.8744583129883,40.77397155761719,-73.97891235351562,40.75849151611328,N,1349.0,Staten Island,Arden Heights,Brooklyn,Fort Hamilton,23465.440422058105,23462.549560546875,2. Afternoon,01. Jan,2016,1. Winter,Weekday,Regular day,15,4. Thursday,4,07-01-2016
id2412371,1,2016-01-04 10:42:35,2016-01-04 10:48:51,1,-73.9684066772461,40.76417922973633,-73.9744873046875,40.76228332519531,N,376.0,Brooklyn,Bedford-Stuyvesant,Manhattan,East Harlem,23463.583854675293,23463.23651123047,1. Morning,01. Jan,2016,1. Winter,Weekday,Regular day,10,1. Monday,4,04-01-2016
id2256844,1,2016-01-07 02:54:36,2016-01-07 03:03:07,1,-73.98684692382812,40.74692153930664,-73.98020935058595,40.72240447998047,N,511.0,Brooklyn,Bedford-Stuyvesant,Brooklyn,Park Slope,23460.459030151367,23456.0525970459,4. Night,01. Jan,2016,1. Winter,Weekday,Regular day,2,4. Thursday,4,07-01-2016
id0600271,1,2016-01-04 21:11:58,2016-01-04 21:16:38,1,-74.00251770019531,40.73026657104492,-74.00360107421875,40.72377395629883,Y,280.0,Manhattan,Harlem,Manhattan,Hell's Kitchen,23457.44546508789,23456.27571105957,3. Evening,01. Jan,2016,1. Winter,Weekday,Regular day,21,1. Monday,4,04-01-2016
id2577565,2,2016-01-06 07:34:45,2016-01-06 07:54:17,3,-73.96440124511719,40.77058029174805,-73.99978637695312,40.71961975097656,N,1172.0,Queens,Edgemere,Brooklyn,Borough Park,23464.74005126953,23455.531768798828,1. Morning,01. Jan,2016,1. Winter,Weekday,Regular day,7,3. Wednesday,4,06-01-2016
id1183458,1,2016-01-07 19:26:04,2016-01-07 19:33:24,1,-73.99588012695312,40.74405288696289,-74.00950622558595,40.726089477539055,N,440.0,Brooklyn,Fort Greene,Manhattan,Harlem,23459.933639526367,23456.686599731445,3. Evening,01. Jan,2016,1. Winter,Weekday,Regular day,19,4. Thursday,4,07-01-2016
id0401091,1,2016-01-09 19:45:59,2016-01-09 20:02:39,2,-73.9716567993164,40.67618179321289,-73.9894790649414,40.72300720214844,N,1000.0,Manhattan,Murray Hill,Brooklyn,Williamsburg,23447.741065979004,23456.151817321777,3. Evening,01. Jan,2016,1. Winter,Weekend,Regular day,19,6. Saturday,4,09-01-2016
id3691698,1,2016-01-08 21:12:40,2016-01-08 21:19:59,1,-73.98912048339844,40.74976348876953,-73.98243713378906,40.74108123779297,N,439.0,Manhattan,Harlem,Manhattan,East Harlem,23460.96830749512,23459.412185668945,3. Evening,01. Jan,2016,1. Winter,Weekday,Regular day,21,5. Friday,4,08-01-2016
id0397890,1,2016-01-06 15:47:42,2016-01-06 15:54:47,2,-73.98296356201173,40.75175857543945,-73.9743881225586,40.75704574584961,N,425.0,Brooklyn,Bensonhurst,Staten Island,Shore Acres,23461.33358001709,23462.29384613037,2. Afternoon,01. Jan,2016,1. Winter,Weekday,Regular day,15,3. Wednesday,4,06-01-2016
id2827057,1,2016-01-08 21:09:57,2016-01-08 21:21:41,1,-73.98674774169923,40.76665878295898,-74.0002670288086,40.7349739074707,N,704.0,Brooklyn,Bedford-Stuyvesant,Manhattan,Upper West Side,23464.01183319092,23458.29503631592,3. Evening,01. Jan,2016,1. Winter,Weekday,Regular day,21,5. Friday,4,08-01-2016
id0851028,2,2016-01-09 07:47:09,2016-01-09 07:53:54,1,-73.98329162597656,40.74460983276367,-73.99593353271484,40.72524642944336,N,405.0,Brooklyn,Williamsburg,Brooklyn,Bedford-Stuyvesant,23460.046478271484,23456.54842376709,1. Morning,01. Jan,2016,1. Winter,Weekend,Regular day,7,6. Saturday,4,09-01-2016
id0751722,2,2016-01-05 16:06:53,2016-01-05 16:10:10,1,-73.98483276367188,40.748191833496094,-73.97865295410156,40.75141525268555,N,197.0,Brooklyn,Bedford-Stuyvesant,Manhattan,Harlem,23460.689697265625,23461.276092529297,2. Afternoon,01. Jan,2016,1. Winter,Weekday,Regular day,16,2. Tuesday,4,05-01-2016
id3311578,1,2016-01-08 22:19:56,2016-01-08 22:28:28,1,-73.98722076416014,40.7251091003418,-73.9759750366211,40.73069381713867,N,512.0,Brooklyn,Williamsburg,Manhattan,Harlem,23456.532417297363,23457.54891204834,3. Evening,01. Jan,2016,1. Winter,Weekday,Regular day,22,5. Friday,4,08-01-2016
id0029293,2,2016-01-07 15:18:00,2016-01-07 15:29:05,1,-73.98869323730467,40.736759185791016,-73.96896362304686,40.75857162475585,N,665.0,Manhattan,Hell's Kitchen,Manhattan,Upper West Side,23458.62796020508,23462.573928833008,2. Afternoon,01. Jan,2016,1. Winter,Weekday,Regular day,15,4. Thursday,4,07-01-2016
id0316021,1,2016-01-06 23:53:57,2016-01-07 00:08:54,1,-73.8751220703125,40.77383041381836,-73.98062133789062,40.7380485534668,N,897.0,Staten Island,Arden Heights,Brooklyn,Flatlands,23465.414352416992,23458.868118286133,3. Evening,01. Jan,2016,1. Winter,Weekday,Regular day,23,3. Wednesday,4,06-01-2016
id2661878,2,2016-01-08 16:46:18,2016-01-08 16:53:57,5,-74.00904846191406,40.726341247558594,-74.0154037475586,40.709869384765625,N,459.0,Manhattan,Harlem,Brooklyn,Bedford-Stuyvesant,23456.732376098636,23453.76108551025,2. Afternoon,01. Jan,2016,1. Winter,Weekday,Regular day,16,5. Friday,4,08-01-2016
id0880438,2,2016-01-09 12:34:36,2016-01-09 12:43:22,2,-73.97417449951173,40.74725341796875,-73.98978424072266,40.73688125610352,N,526.0,Brooklyn,Williamsburg,Manhattan,Murray Hill,23460.531440734863,23458.64884185791,2. Afternoon,01. Jan,2016,1. Winter,Weekend,Regular day,12,6. Saturday,4,09-01-2016
id2008748,2,2016-01-06 23:58:39,2016-01-07 00:01:19,2,-73.98865509033203,40.72279357910156,-73.98019409179686,40.723880767822266,N,160.0,Brooklyn,Bedford-Stuyvesant,Brooklyn,Park Slope,23456.11418914795,23456.31834411621,3. Evening,01. Jan,2016,1. Winter,Weekday,Regular day,23,3. Wednesday,4,06-01-2016
id1029196,1,2016-01-04 16:41:28,2016-01-04 16:45:44,1,-73.9823226928711,40.74574661254883,-73.99356079101562,40.74159240722656,N,256.0,Brooklyn,Williamsburg,Brooklyn,Bedford-Stuyvesant,23460.25206756592,23459.49307250977,2. Afternoon,01. Jan,2016,1. Winter,Weekday,Regular day,16,1. Monday,4,04-01-2016
id1353930,2,2016-01-05 22:03:30,2016-01-05 22:08:27,1,-73.9681167602539,40.768028259277344,-73.95181274414062,40.76639938354492,N,297.0,Manhattan,East Harlem,Manhattan,East Harlem,23464.276969909668,23464.000076293945,3. Evening,01. Jan,2016,1. Winter,Weekday,Regular day,22,2. Tuesday,4,05-01-2016
id3481834,2,2016-01-08 15:50:39,2016-01-08 16:20:13,1,-73.97747039794923,40.75887298583984,-73.86184692382812,40.768463134765625,N,1774.0,Brooklyn,Fort Hamilton,Staten Island,Great Kills,23462.619667053223,23464.461517333984,2. Afternoon,01. Jan,2016,1. Winter,Weekday,Regular day,15,5. Friday,4,08-01-2016
id0450206,2,2016-01-04 17:22:03,2016-01-04 17:25:44,2,-73.97327423095702,40.75756072998047,-73.96928405761719,40.75375747680664,N,221.0,Manhattan,Midtown,Manhattan,Upper West Side,23462.387657165527,23461.707061767574,2. Afternoon,01. Jan,2016,1. Winter,Weekday,Regular day,17,1. Monday,4,04-01-2016
id0321065,1,2016-01-07 18:28:51,2016-01-07 19:08:14,1,-73.86328887939453,40.769775390625,-73.98151397705078,40.764461517333984,N,2363.0,Staten Island,Great Kills,Brooklyn,Fort Hamilton,23464.696281433105,23463.621559143063,3. Evening,01. Jan,2016,1. Winter,Weekday,Regular day,18,4. Thursday,4,07-01-2016
id1417753,1,2016-01-09 14:07:05,2016-01-09 14:19:25,1,-74.0009536743164,40.72761154174805,-73.98333740234375,40.76035690307617,N,740.0,Manhattan,East Village,Manhattan,Upper West Side,23456.96912384033,23462.880905151367,2. Afternoon,01. Jan,2016,1. Winter,Weekend,Regular day,14,6. Saturday,4,09-01-2016
